id,first_name,last_name,email,password,role
1,Admin,Adminov,admin@bank.com,$2a$12$nwe/4icPG6HArt6otusAw.5dpORz3Hdc.incLzoGhEBFaSYWMYRUq,ADMIN
2,User,One,user1@bank.com,$2a$12$OQODQoM1s4x8LN8ao4TITOklUpYgcSSRCF1DZlx5OylISeUVzOApy,USER
3,User,Two,user2@bank.com,$2a$12$OQODQoM1s4x8LN8ao4TITOklUpYgcSSRCF1DZlx5OylISeUVzOApy,USER
4,User,Three,user3@bank.com,$2a$12$OQODQoM1s4x8LN8ao4TITOklUpYgcSSRCF1DZlx5OylISeUVzOApy,USER
5,User,Four,user4@bank.com,$2a$12$OQODQoM1s4x8LN8ao4TITOklUpYgcSSRCF1DZlx5OylISeUVzOApy,USER
6,User,Five,user5@bank.com,$2a$12$OQODQoM1s4x8LN8ao4TITOklUpYgcSSRCF1DZlx5OylISeUVzOApy,USER
7,User,Six,user6@bank.com,$2a$12$OQODQoM1s4x8LN8ao4TITOklUpYgcSSRCF1DZlx5OylISeUVzOApy,USER
8,User,Seven,user7@bank.com,$2a$12$OQODQoM1s4x8LN8ao4TITOklUpYgcSSRCF1DZlx5OylISeUVzOApy,USER
9,User,Eight,user8@bank.com,$2a$12$OQODQoM1s4x8LN8ao4TITOklUpYgcSSRCF1DZlx5OylISeUVzOApy,USER
10,User,Nine,user9@bank.com,$2a$12$OQODQoM1s4x8LN8ao4TITOklUpYgcSSRCF1DZlx5OylISeUVzOApy,USER
11,User,Ten,user10@bank.com,$2a$12$OQODQoM1s4x8LN8ao4TITOklUpYgcSSRCF1DZlx5OylISeUVzOApy,USER
12,User,Eleven,user11@bank.com,$2a$12$OQODQoM1s4x8LN8ao4TITOklUpYgcSSRCF1DZlx5OylISeUVzOApy,USER
13,User,Twelve,user12@bank.com,$2a$12$OQODQoM1s4x8LN8ao4TITOklUpYgcSSRCF1DZlx5OylISeUVzOApy,USER
14,User,Thirteen,user13@bank.com,$2a$12$OQODQoM1s4x8LN8ao4TITOklUpYgcSSRCF1DZlx5OylISeUVzOApy,USER
15,User,Fourteen,user14@bank.com,$2a$12$OQODQoM1s4x8LN8ao4TITOklUpYgcSSRCF1DZlx5OylISeUVzOApy,USER
16,User,Fifteen,user15@bank.com,$2a$12$OQODQoM1s4x8LN8ao4TITOklUpYgcSSRCF1DZlx5OylISeUVzOApy,USER
17,User,Sixteen,user16@bank.com,$2a$12$OQODQoM1s4x8LN8ao4TITOklUpYgcSSRCF1DZlx5OylISeUVzOApy,USER
18,User,Seventeen,user17@bank.com,$2a$12$OQODQoM1s4x8LN8ao4TITOklUpYgcSSRCF1DZlx5OylISeUVzOApy,USER
19,User,Eighteen,user18@bank.com,$2a$12$OQODQoM1s4x8LN8ao4TITOklUpYgcSSRCF1DZlx5OylISeUVzOApy,USER
20,User,Nineteen,user19@bank.com,$2a$12$OQODQoM1s4x8LN8ao4TITOklUpYgcSSRCF1DZlx5OylISeUVzOApy,USER
21,User,Twenty,user20@bank.com,$2a$12$OQODQoM1s4x8LN8ao4TITOklUpYgcSSRCF1DZlx5OylISeUVzOApy,USER
22,User,TwentyOne,user21@bank.com,$2a$12$OQODQoM1s4x8LN8ao4TITOklUpYgcSSRCF1DZlx5OylISeUVzOApy,USER
23,User,TwentyTwo,user22@bank.com,$2a$12$OQODQoM1s4x8LN8ao4TITOklUpYgcSSRCF1DZlx5OylISeUVzOApy,USER
24,User,TwentyThree,user23@bank.com,$2a$12$OQODQoM1s4x8LN8ao4TITOklUpYgcSSRCF1DZlx5OylISeUVzOApy,USER
25,User,TwentyFour,user24@bank.com,$2a$12$OQODQoM1s4x8LN8ao4TITOklUpYgcSSRCF1DZlx5OylISeUVzOApy,USER
26,User,TwentyFive,user25@bank.com,$2a$12$OQODQoM1s4x8LN8ao4TITOklUpYgcSSRCF1DZlx5OylISeUVzOApy,USER
27,User,TwentySix,user26@bank.com,$2a$12$OQODQoM1s4x8LN8ao4TITOklUpYgcSSRCF1DZlx5OylISeUVzOApy,USER
28,User,TwentySeven,user27@bank.com,$2a$12$OQODQoM1s4x8LN8ao4TITOklUpYgcSSRCF1DZlx5OylISeUVzOApy,USER
29,User,TwentyEight,user28@bank.com,$2a$12$OQODQoM1s4x8LN8ao4TITOklUpYgcSSRCF1DZlx5OylISeUVzOApy,USER
30,User,TwentyNine,user29@bank.com,$2a$12$OQODQoM1s4x8LN8ao4TITOklUpYgcSSRCF1DZlx5OylISeUVzOApy,USER
31,User,Thirty,user30@bank.com,$2a$12$OQODQoM1s4x8LN8ao4TITOklUpYgcSSRCF1DZlx5OylISeUVzOApy,USER
32,User,ThirtyOne,user31@bank.com,$2a$12$OQODQoM1s4x8LN8ao4TITOklUpYgcSSRCF1DZlx5OylISeUVzOApy,USER
33,User,ThirtyTwo,user32@bank.com,$2a$12$OQODQoM1s4x8LN8ao4TITOklUpYgcSSRCF1DZlx5OylISeUVzOApy,USER
34,User,ThirtyThree,user33@bank.com,$2a$12$OQODQoM1s4x8LN8ao4TITOklUpYgcSSRCF1DZlx5OylISeUVzOApy,USER
35,User,ThirtyFour,user34@bank.com,$2a$12$OQODQoM1s4x8LN8ao4TITOklUpYgcSSRCF1DZlx5OylISeUVzOApy,USER
36,User,ThirtyFive,user35@bank.com,$2a$12$OQODQoM1s4x8LN8ao4TITOklUpYgcSSRCF1DZlx5OylISeUVzOApy,USER
37,User,ThirtySix,user36@bank.com,$2a$12$OQODQoM1s4x8LN8ao4TITOklUpYgcSSRCF1DZlx5OylISeUVzOApy,USER
38,User,ThirtySeven,user37@bank.com,$2a$12$OQODQoM1s4x8LN8ao4TITOklUpYgcSSRCF1DZlx5OylISeUVzOApy,USER
39,User,ThirtyEight,user38@bank.com,$2a$12$OQODQoM1s4x8LN8ao4TITOklUpYgcSSRCF1DZlx5OylISeUVzOApy,USER
40,User,ThirtyNine,user39@bank.com,$2a$12$OQODQoM1s4x8LN8ao4TITOklUpYgcSSRCF1DZlx5OylISeUVzOApy,USER
41,User,Forty,user40@bank.com,$2a$12$OQODQoM1s4x8LN8ao4TITOklUpYgcSSRCF1DZlx5OylISeUVzOApy,USER
42,User,FortyOne,user41@bank.com,$2a$12$OQODQoM1s4x8LN8ao4TITOklUpYgcSSRCF1DZlx5OylISeUVzOApy,USER
43,User,FortyTwo,user42@bank.com,$2a$12$OQODQoM1s4x8LN8ao4TITOklUpYgcSSRCF1DZlx5OylISeUVzOApy,USER
44,User,FortyThree,user43@bank.com,$2a$12$OQODQoM1s4x8LN8ao4TITOklUpYgcSSRCF1DZlx5OylISeUVzOApy,USER
45,User,FortyFour,user44@bank.com,$2a$12$OQODQoM1s4x8LN8ao4TITOklUpYgcSSRCF1DZlx5OylISeUVzOApy,USER
46,User,FortyFive,user45@bank.com,$2a$12$OQODQoM1s4x8LN8ao4TITOklUpYgcSSRCF1DZlx5OylISeUVzOApy,USER
47,User,FortySix,user46@bank.com,$2a$12$OQODQoM1s4x8LN8ao4TITOklUpYgcSSRCF1DZlx5OylISeUVzOApy,USER
